from,to,distance
L7,L7,0
L18,L7,37.876
L26,L7,47.927
L33,L7,40.097
L36,L7,38.686
L38,L7,34.779
L57,L7,31.968
L62,L7,28.655
L63,L7,32.274
L70,L7,3.943
L75,L7,20.575
L76,L7,20.575
L77,L7,21.004
L78,L7,24.813
L79,L7,21.987
L80,L7,20.575
L81,L7,21.168
L82,L7,20.91
L91,L7,20.387
L93,L7,20.543
L99,L7,20.18
L102,L7,19.918
L103,L7,55.617
L106,L7,19.798
L113,L7,7.622
L116,L7,4.969
L122,L7,5.802
L128,L7,60.084
L134,L7,4.713
L135,L7,4.713
L138,L7,37.113
L139,L7,37.113
L141,L7,20.575
L145,L7,6.439
L146,L7,5.406
L147,L7,6.853
L150,L7,19.77
L151,L7,6.315
L153,L7,26.186
L154,L7,26.186
L155,L7,26.274
L156,L7,20.178
L157,L7,20.178
L159,L7,26.115
L162,L7,18.327
L168,L7,11.296
L171,L7,34.434
L173,L7,26.753
L178,L7,37.214
L179,L7,37.214
L185,L7,25.502
L186,L7,20.161
L191,L7,34.546
L203,L7,36.079
L206,L7,27.156
L213,L7,33.138
L222,L7,20.672
L227,L7,28.347
L229,L7,34.285
L231,L7,34.41
L246,L7,40.75
L247,L7,40.857
L249,L7,35.347
L252,L7,35.145
L262,L7,32.215
L271,L7,50.088
L273,L7,50.845
L274,L7,49.857
L292,L7,38.972
L299,L7,39.604
L309,L7,1.187
L310,L7,0.644
L313,L7,39.208
L315,L7,20.821
L321,L7,20.714
L323,L7,3.603
L328,L7,4.167
L333,L7,7.661
L334,L7,7.39
L336,L7,19.788
L338,L7,20.174
L349,L7,19.948
L355,L7,23.676
L361,L7,6.488
L365,L7,10.407
L370,L7,35.054
L371,L7,35.054
L375,L7,35.431
L382,L7,20.575
L385,L7,34.546
L387,L7,50.163
L392,L7,13.106
L393,L7,13.461
L402,L7,11.748
L408,L7,15.069
L411,L7,15.099
L412,L7,15.257
L418,L7,18.763
L423,L7,19.827
L430,L7,65.023
L431,L7,50.987
L437,L7,26.378
L444,L7,54.191
L445,L7,55.576
L469,L7,50.188
L483,L7,62.392
L493,L7,63.289
L495,L7,44.574
L496,L7,34.924
L511,L7,48.35
L527,L7,19.716
L529,L7,15.317
L530,L7,15.257
L540,L7,46.195
L543,L7,43.592
L554,L7,15.257
L556,L7,59.414
L560,L7,74.003
L0,L18,23.588
L7,L18,36.217
L18,L18,0
L26,L18,78.529
L33,L18,61.367
L36,L18,61.041
L38,L18,65.381
L57,L18,62.57
L62,L18,44.9
L63,L18,62.876
L70,L18,39.585
L75,L18,22.014
L76,L18,22.014
L77,L18,22.902
L78,L18,23.556
L79,L18,23.885
L80,L18,22.014
L81,L18,23.066
L82,L18,22.808
L91,L18,23.169
L93,L18,23.051
L99,L18,23.534
L102,L18,21.915
L103,L18,86.219
L106,L18,22.334
L113,L18,38.224
L116,L18,39.915
L122,L18,41.187
L128,L18,90.686
L134,L18,41.01
L135,L18,41.01
L138,L18,67.715
L139,L18,67.715
L141,L18,22.014
L145,L18,37.041
L146,L18,36.008
L147,L18,42.52
L150,L18,23.535
L151,L18,42.123
L153,L18,48.824
L154,L18,48.824
L155,L18,52.735
L156,L18,72.346
L157,L18,72.346
L159,L18,67.117
L162,L18,51.674
L168,L18,26.983
L171,L18,65.036
L173,L18,32.263
L178,L18,67.816
L179,L18,67.816
L185,L18,37.895
L186,L18,41.45
L191,L18,65.148
L203,L18,66.681
L206,L18,43.401
L213,L18,7.885
L222,L18,40.528
L227,L18,12.257
L229,L18,64.887
L231,L18,65.012
L246,L18,53.143
L247,L18,53.25
L249,L18,65.949
L252,L18,65.747
L262,L18,48.46
L271,L18,80.69
L273,L18,81.447
L274,L18,80.459
L292,L18,60.85
L299,L18,70.206
L309,L18,36.995
L310,L18,36.452
L313,L18,60.478
L315,L18,22.315
L321,L18,23.046
L323,L18,39.395
L328,L18,39.552
L333,L18,38.263
L334,L18,37.992
L336,L18,22.044
L338,L18,23.5
L349,L18,23.384
L355,L18,24.932
L361,L18,28.825
L365,L18,30.263
L370,L18,65.656
L371,L18,65.656
L375,L18,66.033
L382,L18,22.014
L385,L18,65.148
L387,L18,80.765
L392,L18,25.381
L393,L18,24.577
L402,L18,27.457
L408,L18,27.732
L411,L18,27.513
L412,L18,27.354
L418,L18,25.809
L423,L18,26.873
L430,L18,62.375
L431,L18,60.318
L437,L18,22.147
L444,L18,48.531
L445,L18,50.307
L469,L18,59.519
L483,L18,71.723
L493,L18,56.466
L495,L18,53.905
L496,L18,45.521
L511,L18,57.681
L527,L18,24.29
L529,L18,27.634
L530,L18,27.354
L540,L18,55.526
L543,L18,52.923
L554,L18,27.354
L556,L18,66.492
L560,L18,83.334
L0,L26,50.926
L7,L26,39.546
L18,L26,74.103
L26,L26,0
L33,L26,50.658
L36,L26,56.963
L38,L26,13.288
L57,L26,50.245
L62,L26,63.182
L63,L26,50.551
L70,L26,32.037
L75,L26,51.25
L76,L26,51.25
L77,L26,51.679
L78,L26,55.488
L79,L26,52.662
L80,L26,51.25
L81,L26,51.843
L82,L26,51.585
L91,L26,51.062
L93,L26,51.218
L99,L26,50.855
L102,L26,50.593
L103,L26,20.266
L106,L26,50.473
L113,L26,32.588
L116,L26,31.012
L122,L26,31.5
L128,L26,24.733
L134,L26,33.416
L135,L26,33.416
L138,L26,11.87
L139,L26,11.87
L141,L26,51.25
L145,L26,37.602
L146,L26,36.569
L147,L26,30.379
L150,L26,50.445
L151,L26,34.568
L153,L26,50.419
L154,L26,50.419
L155,L26,53.475
L156,L26,52.305
L157,L26,52.305
L159,L26,56.227
L162,L26,45.31
L168,L26,44.085
L171,L26,52.711
L173,L26,57.428
L178,L26,17.405
L179,L26,17.405
L185,L26,56.177
L186,L26,50.836
L191,L26,52.823
L203,L26,54.356
L206,L26,61.683
L213,L26,67.437
L222,L26,51.347
L227,L26,61.763
L229,L26,52.562
L231,L26,52.687
L246,L26,56.761
L247,L26,56.955
L249,L26,53.624
L252,L26,53.422
L262,L26,66.742
L271,L26,14.737
L273,L26,15.494
L274,L26,14.506
L292,L26,57.249
L299,L26,9.465
L309,L26,34.032
L310,L26,35.006
L313,L26,57.485
L315,L26,51.496
L321,L26,51.389
L323,L26,31.625
L328,L26,32.004
L333,L26,32.903
L334,L26,32.82
L336,L26,50.463
L338,L26,50.849
L349,L26,50.623
L355,L26,54.351
L361,L26,39.884
L365,L26,41.082
L370,L26,53.331
L371,L26,53.331
L375,L26,53.708
L382,L26,51.25
L385,L26,52.823
L387,L26,14.812
L392,L26,47.044
L393,L26,50.678
L402,L26,45.686
L408,L26,45.744
L411,L26,45.774
L412,L26,45.932
L418,L26,49.438
L423,L26,50.502
L430,L26,96.888
L431,L26,82.852
L437,L26,65.598
L444,L26,91.87
L445,L26,93.255
L469,L26,82.053
L483,L26,73.326
L493,L26,98.432
L495,L26,76.439
L496,L26,66.789
L511,L26,73.317
L527,L26,50.391
L529,L26,45.992
L530,L26,45.932
L540,L26,76.885
L543,L26,75.457
L554,L26,45.932
L556,L26,91.279
L560,L26,84.937
L0,L33,38.247
L7,L33,29.817
L18,L33,61.424
L26,L33,60.477
L33,L33,0
L36,L33,2.2
L38,L33,47.329
L57,L33,11.658
L62,L33,11.806
L63,L33,7.774
L70,L33,26.276
L75,L33,38.571
L76,L33,38.571
L77,L33,39
L78,L33,43.135
L79,L33,39.983
L80,L33,38.571
L81,L33,39.164
L82,L33,38.906
L91,L33,38.383
L93,L33,38.539
L99,L33,38.176
L102,L33,37.914
L103,L33,68.167
L106,L33,37.794
L113,L33,25.643
L116,L33,26.606
L122,L33,27.878
L128,L33,72.634
L134,L33,27.655
L135,L33,27.655
L138,L33,49.663
L139,L33,49.663
L141,L33,38.571
L145,L33,27.803
L146,L33,28.069
L147,L33,27.628
L150,L33,37.766
L151,L33,28.807
L153,L33,8.147
L154,L33,8.147
L155,L33,8.058
L156,L33,10.335
L157,L33,10.335
L159,L33,5.952
L162,L33,12.193
L168,L33,28.738
L171,L33,12.655
L173,L33,34.117
L178,L33,49.764
L179,L33,49.764
L185,L33,18.978
L186,L33,19.343
L191,L33,6.041
L203,L33,7.574
L206,L33,15.561
L213,L33,55.084
L222,L33,13.878
L227,L33,49.084
L229,L33,6.017
L231,L33,6.142
L246,L33,8.419
L247,L33,8.613
L249,L33,4.952
L252,L33,5.276
L262,L33,14.279
L271,L33,62.638
L273,L33,63.395
L274,L33,62.407
L292,L33,1.799
L299,L33,52.154
L309,L33,27.969
L310,L33,29.245
L313,L33,1.427
L315,L33,38.817
L321,L33,38.71
L323,L33,26.086
L328,L33,26.243
L333,L33,25.958
L334,L33,25.875
L336,L33,37.784
L338,L33,38.17
L349,L33,37.944
L355,L33,41.998
L361,L33,26.283
L365,L33,23.794
L370,L33,5.185
L371,L33,5.185
L375,L33,4.668
L382,L33,38.571
L385,L33,6.041
L387,L33,62.713
L392,L33,29.851
L393,L33,30.206
L402,L33,28.493
L408,L33,25.662
L411,L33,25.692
L412,L33,25.85
L418,L33,28.759
L423,L33,28.514
L430,L33,97.148
L431,L33,83.112
L437,L33,65.858
L444,L33,92.13
L445,L33,93.515
L469,L33,82.313
L483,L33,85.393
L493,L33,98.692
L495,L33,76.699
L496,L33,67.049
L511,L33,80.475
L527,L33,30.472
L529,L33,25.91
L530,L33,25.85
L540,L33,78.32
L543,L33,75.717
L554,L33,25.85
L556,L33,91.539
L560,L33,97.004
L0,L36,37.911
L7,L36,38.429
L18,L36,61.088
L26,L36,59.1
L33,L36,2.176
L36,L36,0
L38,L36,45.952
L57,L36,10.281
L62,L36,13.78
L63,L36,6.397
L70,L36,29.14
L75,L36,38.235
L76,L36,38.235
L77,L36,38.664
L78,L36,42.799
L79,L36,39.647
L80,L36,38.235
L81,L36,38.828
L82,L36,38.57
L91,L36,38.047
L93,L36,38.203
L99,L36,37.84
L102,L36,37.578
L103,L36,66.79
L106,L36,37.458
L113,L36,29.691
L116,L36,28.115
L122,L36,30.742
L128,L36,71.257
L134,L36,32.299
L135,L36,32.299
L138,L36,48.286
L139,L36,48.286
L141,L36,38.235
L145,L36,31.851
L146,L36,35.452
L147,L36,26.251
L150,L36,37.43
L151,L36,31.671
L153,L36,10.121
L154,L36,10.121
L155,L36,10.032
L156,L36,12.309
L157,L36,12.309
L159,L36,7.926
L162,L36,14.167
L168,L36,42.968
L171,L36,11.278
L173,L36,33.781
L178,L36,48.387
L179,L36,48.387
L185,L36,20.952
L186,L36,21.317
L191,L36,4.664
L203,L36,6.197
L206,L36,17.535
L213,L36,54.748
L222,L36,15.852
L227,L36,48.748
L229,L36,4.64
L231,L36,4.765
L246,L36,8.083
L247,L36,8.277
L249,L36,3.575
L252,L36,3.899
L262,L36,13.943
L271,L36,61.261
L273,L36,62.018
L274,L36,61.03
L292,L36,0.927
L299,L36,50.777
L309,L36,31.135
L310,L36,33.889
L313,L36,0.75
L315,L36,38.481
L321,L36,38.374
L323,L36,28.728
L328,L36,29.107
L333,L36,30.006
L334,L36,29.923
L336,L36,37.448
L338,L36,37.834
L349,L36,37.608
L355,L36,41.662
L361,L36,38.767
L365,L36,25.768
L370,L36,3.808
L371,L36,3.808
L375,L36,3.291
L382,L36,38.235
L385,L36,4.664
L387,L36,61.336
L392,L36,37.635
L393,L36,37.663
L402,L36,38.833
L408,L36,33.881
L411,L36,34.101
L412,L36,33.997
L418,L36,34.255
L423,L36,34.01
L430,L36,95.771
L431,L36,81.735
L437,L36,64.481
L444,L36,90.753
L445,L36,92.138
L469,L36,80.936
L483,L36,84.016
L493,L36,97.315
L495,L36,75.322
L496,L36,65.672
L511,L36,79.098
L527,L36,37.376
L529,L36,34.319
L530,L36,33.997
L540,L36,76.943
L543,L36,74.34
L554,L36,33.997
L556,L36,90.162
L560,L36,95.627
L0,L38,46.093
L7,L38,34.713
L18,L38,69.27
L26,L38,13.288
L33,L38,46.893
L36,L38,45.482
L38,L38,0
L57,L38,38.764
L62,L38,58.349
L63,L38,39.07
L70,L38,27.204
L75,L38,46.417
L76,L38,46.417
L77,L38,46.846
L78,L38,50.655
L79,L38,47.829
L80,L38,46.417
L81,L38,47.01
L82,L38,46.752
L91,L38,46.229
L93,L38,46.385
L99,L38,46.022
L102,L38,45.76
L103,L38,20.885
L106,L38,45.64
L113,L38,27.755
L116,L38,26.179
L122,L38,25.009
L128,L38,25.352
L134,L38,28.583
L135,L38,28.583
L138,L38,2.381
L139,L38,2.381
L141,L38,46.417
L145,L38,32.769
L146,L38,31.736
L147,L38,25.546
L150,L38,45.612
L151,L38,29.735
L153,L38,45.586
L154,L38,45.586
L155,L38,49.71
L156,L38,48.54
L157,L38,48.54
L159,L38,52.462
L162,L38,40.477
L168,L38,39.252
L171,L38,41.23
L173,L38,52.595
L178,L38,4.257
L179,L38,4.257
L185,L38,51.344
L186,L38,46.003
L191,L38,41.342
L203,L38,42.875
L206,L38,56.85
L213,L38,62.604
L222,L38,46.514
L227,L38,56.93
L229,L38,41.081
L231,L38,41.206
L246,L38,52.996
L247,L38,53.19
L249,L38,42.143
L252,L38,41.941
L262,L38,61.909
L271,L38,15.356
L273,L38,16.113
L274,L38,15.125
L292,L38,45.768
L299,L38,4.872
L309,L38,29.199
L310,L38,30.173
L313,L38,46.004
L315,L38,46.663
L321,L38,46.556
L323,L38,26.792
L328,L38,27.171
L333,L38,28.07
L334,L38,27.987
L336,L38,45.63
L338,L38,46.016
L349,L38,45.79
L355,L38,49.518
L361,L38,35.051
L365,L38,36.249
L370,L38,41.85
L371,L38,41.85
L375,L38,42.227
L382,L38,46.417
L385,L38,41.342
L387,L38,15.431
L392,L38,42.211
L393,L38,45.845
L402,L38,40.853
L408,L38,40.911
L411,L38,40.941
L412,L38,41.099
L418,L38,44.605
L423,L38,45.669
L430,L38,88.464
L431,L38,78.019
L437,L38,60.765
L444,L38,87.037
L445,L38,88.422
L469,L38,77.22
L483,L38,61.845
L493,L38,93.599
L495,L38,71.606
L496,L38,61.956
L511,L38,61.836
L527,L38,45.558
L529,L38,41.159
L530,L38,41.099
L540,L38,65.404
L543,L38,70.624
L554,L38,41.099
L556,L38,86.446
L560,L38,73.456
L0,L57,43.105
L7,L57,25.977
L18,L57,66.282
L26,L57,52.396
L33,L57,10.039
L36,L57,8.628
L38,L57,39.248
L57,L57,0
L62,L57,20.259
L63,L57,2.216
L70,L57,22.436
L75,L57,43.429
L76,L57,43.429
L77,L57,43.858
L78,L57,47.667
L79,L57,44.841
L80,L57,43.429
L81,L57,44.022
L82,L57,43.764
L91,L57,43.241
L93,L57,43.397
L99,L57,43.034
L102,L57,42.772
L103,L57,60.086
L106,L57,42.652
L113,L57,22.987
L116,L57,21.411
L122,L57,24.038
L128,L57,64.553
L134,L57,23.815
L135,L57,23.815
L138,L57,41.582
L139,L57,41.582
L141,L57,43.429
L145,L57,25.147
L146,L57,28.748
L147,L57,19.547
L150,L57,42.624
L151,L57,24.967
L153,L57,12.929
L154,L57,12.929
L155,L57,12.856
L156,L57,11.686
L157,L57,11.686
L159,L57,15.608
L162,L57,13.544
L168,L57,36.264
L171,L57,2.886
L173,L57,49.607
L178,L57,41.683
L179,L57,41.683
L185,L57,27.431
L186,L57,24.125
L191,L57,4.488
L203,L57,8.866
L206,L57,23.688
L213,L57,59.616
L222,L57,18.66
L227,L57,53.942
L229,L57,4.227
L231,L57,4.352
L246,L57,16.142
L247,L57,16.336
L249,L57,5.289
L252,L57,5.087
L262,L57,28.585
L271,L57,54.557
L273,L57,55.314
L274,L57,54.326
L292,L57,8.914
L299,L57,44.073
L309,L57,24.431
L310,L57,25.405
L313,L57,9.15
L315,L57,43.675
L321,L57,43.568
L323,L57,22.024
L328,L57,22.403
L333,L57,23.302
L334,L57,23.219
L336,L57,42.642
L338,L57,43.028
L349,L57,42.802
L355,L57,46.53
L361,L57,32.063
L365,L57,33.261
L370,L57,4.996
L371,L57,4.996
L375,L57,5.373
L382,L57,43.429
L385,L57,4.488
L387,L57,54.632
L392,L57,39.223
L393,L57,42.857
L402,L57,37.865
L408,L57,37.923
L411,L57,37.953
L412,L57,38.111
L418,L57,41.617
L423,L57,42.681
L430,L57,89.067
L431,L57,75.031
L437,L57,57.777
L444,L57,84.049
L445,L57,85.434
L469,L57,74.232
L483,L57,77.312
L493,L57,90.611
L495,L57,68.618
L496,L57,58.968
L511,L57,72.394
L527,L57,42.57
L529,L57,38.171
L530,L57,38.111
L540,L57,70.239
L543,L57,67.636
L554,L57,38.111
L556,L57,83.458
L560,L57,88.923
L0,L62,21.725
L7,L62,28.514
L18,L62,44.902
L26,L62,72.125
L33,L62,11.806
L36,L62,13.804
L38,L62,58.977
L57,L62,21.905
L62,L62,0
L63,L62,18.021
L70,L62,25.579
L75,L62,22.049
L76,L62,22.049
L77,L62,22.478
L78,L62,26.613
L79,L62,23.461
L80,L62,22.049
L81,L62,22.642
L82,L62,22.384
L91,L62,21.861
L93,L62,22.017
L99,L62,21.654
L102,L62,21.392
L103,L62,79.815
L106,L62,21.272
L113,L62,24.946
L116,L62,25.909
L122,L62,27.181
L128,L62,84.282
L134,L62,26.958
L135,L62,26.958
L138,L62,61.311
L139,L62,61.311
L141,L62,22.049
L145,L62,26.57
L146,L62,25.537
L147,L62,27.793
L150,L62,21.244
L151,L62,28.11
L153,L62,8.393
L154,L62,8.393
L155,L62,8.304
L156,L62,10.581
L157,L62,10.581
L159,L62,7.401
L162,L62,12.439
L168,L62,23.062
L171,L62,22.902
L173,L62,17.595
L178,L62,61.412
L179,L62,61.412
L185,L62,7.226
L186,L62,8.495
L191,L62,17.645
L203,L62,19.178
L206,L62,3.809
L213,L62,38.562
L222,L62,11.181
L227,L62,32.562
L229,L62,17.621
L231,L62,16.761
L246,L62,16.81
L247,L62,17.004
L249,L62,16.556
L252,L62,16.88
L262,L62,8.38
L271,L62,74.286
L273,L62,75.043
L274,L62,74.055
L292,L62,13.403
L299,L62,63.802
L309,L62,27.272
L310,L62,28.749
L313,L62,13.031
L315,L62,22.295
L321,L62,22.188
L323,L62,25.389
L328,L62,25.546
L333,L62,25.261
L334,L62,25.178
L336,L62,21.262
L338,L62,21.648
L349,L62,21.422
L355,L62,25.476
L361,L62,20.607
L365,L62,19.953
L370,L62,16.789
L371,L62,16.789
L375,L62,16.272
L382,L62,22.049
L385,L62,17.645
L387,L62,74.361
L392,L62,21.449
L393,L62,21.477
L402,L62,22.647
L408,L62,17.695
L411,L62,17.915
L412,L62,17.811
L418,L62,18.069
L423,L62,17.824
L430,L62,98.321
L431,L62,84.285
L437,L62,54.3
L444,L62,80.572
L445,L62,81.957
L469,L62,83.486
L483,L62,97.041
L493,L62,89.67
L495,L62,77.872
L496,L62,68.222
L511,L62,81.648
L527,L62,21.19
L529,L62,18.133
L530,L62,17.811
L540,L62,79.493
L543,L62,76.89
L554,L62,17.811
L556,L62,92.712
L560,L62,108.652
L0,L63,43.412
L7,L63,26.284
L18,L63,66.589
L26,L63,52.703
L33,L63,7.823
L36,L63,6.412
L38,L63,39.555
L57,L63,3.884
L62,L63,18.043
L63,L63,0
L70,L63,22.743
L75,L63,43.736
L76,L63,43.736
L77,L63,44.165
L78,L63,47.974
L79,L63,45.148
L80,L63,43.736
L81,L63,44.329
L82,L63,44.071
L91,L63,43.548
L93,L63,43.704
L99,L63,43.341
L102,L63,43.079
L103,L63,60.393
L106,L63,42.959
L113,L63,23.294
L116,L63,21.718
L122,L63,24.345
L128,L63,64.86
L134,L63,24.122
L135,L63,24.122
L138,L63,41.889
L139,L63,41.889
L141,L63,43.736
L145,L63,25.454
L146,L63,29.055
L147,L63,19.854
L150,L63,42.931
L151,L63,25.274
L153,L63,10.713
L154,L63,10.713
L155,L63,10.64
L156,L63,9.47
L157,L63,9.47
L159,L63,13.392
L162,L63,11.328
L168,L63,36.571
L171,L63,4.881
L173,L63,49.914
L178,L63,41.99
L179,L63,41.99
L185,L63,25.215
L186,L63,21.909
L191,L63,2.272
L203,L63,3.805
L206,L63,21.472
L213,L63,59.923
L222,L63,16.444
L227,L63,54.249
L229,L63,2.011
L231,L63,2.136
L246,L63,13.926
L247,L63,14.12
L249,L63,3.073
L252,L63,2.871
L262,L63,26.369
L271,L63,54.864
L273,L63,55.621
L274,L63,54.633
L292,L63,6.698
L299,L63,44.38
L309,L63,24.738
L310,L63,25.712
L313,L63,6.934
L315,L63,43.982
L321,L63,43.875
L323,L63,22.331
L328,L63,22.71
L333,L63,23.609
L334,L63,23.526
L336,L63,42.949
L338,L63,43.335
L349,L63,43.109
L355,L63,46.837
L361,L63,32.37
L365,L63,33.568
L370,L63,2.78
L371,L63,2.78
L375,L63,3.157
L382,L63,43.736
L385,L63,2.272
L387,L63,54.939
L392,L63,39.53
L393,L63,43.164
L402,L63,38.172
L408,L63,38.23
L411,L63,38.26
L412,L63,38.418
L418,L63,41.924
L423,L63,42.988
L430,L63,89.374
L431,L63,75.338
L437,L63,58.084
L444,L63,84.356
L445,L63,85.741
L469,L63,74.539
L483,L63,77.619
L493,L63,90.918
L495,L63,68.925
L496,L63,59.275
L511,L63,72.701
L527,L63,42.877
L529,L63,38.478
L530,L63,38.418
L540,L63,70.546
L543,L63,67.943
L554,L63,38.418
L556,L63,83.765
L560,L63,89.23
L0,L70,20.85
L7,L70,3.541
L18,L70,41.008
L26,L70,40.484
L33,L70,26.574
L36,L70,29.172
L38,L70,27.336
L57,L70,22.454
L62,L70,25.877
L63,L70,22.76
L70,L70,0
L75,L70,21.174
L76,L70,21.174
L77,L70,21.603
L78,L70,25.412
L79,L70,22.586
L80,L70,21.174
L81,L70,21.767
L82,L70,21.509
L91,L70,20.986
L93,L70,21.142
L99,L70,20.779
L102,L70,20.517
L103,L70,48.174
L106,L70,20.397
L113,L70,1.659
L116,L70,1.023
L122,L70,1.856
L128,L70,52.641
L134,L70,1.379
L135,L70,1.379
L138,L70,29.67
L139,L70,29.67
L141,L70,21.174
L145,L70,3.819
L146,L70,4.085
L147,L70,2.907
L150,L70,20.369
L151,L70,2.531
L153,L70,19.49
L154,L70,19.49
L155,L70,19.417
L156,L70,16.232
L157,L70,16.232
L159,L70,22.169
L162,L70,14.381
L168,L70,14.009
L171,L70,24.92
L173,L70,27.352
L178,L70,29.771
L179,L70,29.771
L185,L70,26.101
L186,L70,20.76
L191,L70,25.032
L203,L70,26.565
L206,L70,22.068
L213,L70,37.361
L222,L70,15.922
L227,L70,31.479
L229,L70,24.771
L231,L70,24.427
L246,L70,36.686
L247,L70,36.88
L249,L70,25.833
L252,L70,25.631
L262,L70,29.437
L271,L70,42.645
L273,L70,43.402
L274,L70,42.414
L292,L70,29.458
L299,L70,32.161
L309,L70,2.353
L310,L70,2.969
L313,L70,29.694
L315,L70,21.42
L321,L70,21.313
L323,L70,0.696
L328,L70,0.221
L333,L70,1.974
L334,L70,1.891
L336,L70,20.387
L338,L70,20.773
L349,L70,20.547
L355,L70,24.275
L361,L70,9.808
L365,L70,11.006
L370,L70,25.54
L371,L70,25.54
L375,L70,25.917
L382,L70,21.174
L385,L70,25.032
L387,L70,42.72
L392,L70,16.968
L393,L70,20.602
L402,L70,15.61
L408,L70,15.668
L411,L70,15.698
L412,L70,15.856
L418,L70,19.362
L423,L70,20.426
L430,L70,64.851
L431,L70,50.815
L437,L70,33.245
L444,L70,61.071
L445,L70,63.735
L469,L70,50.016
L483,L70,65.4
L493,L70,66.395
L495,L70,44.402
L496,L70,34.752
L511,L70,48.178
L527,L70,20.315
L529,L70,15.916
L530,L70,15.856
L540,L70,46.023
L543,L70,43.42
L554,L70,15.856
L556,L70,59.242
L560,L70,77.011
L0,L75,0.792
L7,L75,19.643
L18,L75,23.336
L26,L75,59.12
L33,L75,38.412
L36,L75,38.086
L38,L75,45.972
L57,L75,43.161
L62,L75,21.945
L63,L75,43.467
L70,L75,20.243
L75,L75,0
L76,L75,0
L77,L75,1.134
L78,L75,1.788
L79,L75,2.117
L80,L75,0
L81,L75,1.298
L82,L75,1.04
L91,L75,0.889
L93,L75,0.771
L99,L75,1.171
L102,L75,0.729
L103,L75,66.81
L106,L75,0.975
L113,L75,18.882
L116,L75,20.573
L122,L75,21.845
L128,L75,71.277
L134,L75,21.622
L135,L75,21.622
L138,L75,48.306
L139,L75,48.306
L141,L75,0
L145,L75,17.699
L146,L75,16.666
L147,L75,23.111
L150,L75,1.172
L151,L75,22.774
L153,L75,25.451
L154,L75,25.451
L155,L75,25.539
L156,L75,28.701
L157,L75,28.701
L159,L75,44.162
L162,L75,32.332
L168,L75,6.636
L171,L75,45.627
L173,L75,9.9
L178,L75,48.407
L179,L75,48.407
L185,L75,14.94
L186,L75,18.495
L191,L75,45.739
L203,L75,47.272
L206,L75,20.446
L213,L75,16.089
L222,L75,19.937
L227,L75,11.899
L229,L75,45.478
L231,L75,45.603
L246,L75,30.188
L247,L75,30.295
L249,L75,46.54
L252,L75,46.338
L262,L75,25.505
L271,L75,61.281
L273,L75,62.038
L274,L75,61.05
L292,L75,37.895
L299,L75,50.797
L309,L75,20.421
L310,L75,19.878
L313,L75,37.523
L315,L75,0.55
L321,L75,1.278
L323,L75,20.053
L328,L75,20.21
L333,L75,18.921
L334,L75,18.65
L336,L75,0.685
L338,L75,1.041
L349,L75,1.616
L355,L75,3.164
L361,L75,10.738
L365,L75,12.176
L370,L75,46.247
L371,L75,46.247
L375,L75,46.624
L382,L75,0
L385,L75,45.739
L387,L75,61.356
L392,L75,4.022
