from,to,time
L186,L26,40.81666667
L191,L26,45.73333333
L203,L26,47.6
L206,L26,48.55
L213,L26,52.03333333
L222,L26,41.66666667
L227,L26,49.71666667
L229,L26,45.05
L231,L26,45.31666667
L246,L26,50.56666667
L247,L26,51.41666667
L249,L26,46.56666667
L252,L26,46.41666667
L262,L26,53.65
L271,L26,15.56666667
L273,L26,17.76666667
L274,L26,15.08333333
L292,L26,51.08333333
L299,L26,11.18333333
L309,L26,31.6
L310,L26,33.68333333
L313,L26,50.98333333
L315,L26,41.75
L321,L26,42.1
L323,L26,28.06666667
L328,L26,28.91666667
L333,L26,29.98333333
L334,L26,29.45
L336,L26,39.3
L338,L26,40.28333333
L349,L26,40.3
L355,L26,41.81666667
L361,L26,32.43333333
L365,L26,33.03333333
L370,L26,46.15
L371,L26,46.15
L375,L26,46.26666667
L382,L26,41.56666667
L385,L26,45.73333333
L387,L26,15.85
L392,L26,39.98333333
L393,L26,39.51666667
L402,L26,37.45
L408,L26,35.38333333
L411,L26,35.18333333
L412,L26,35.63333333
L418,L26,38.11666667
L423,L26,38.73333333
L430,L26,86.23333333
L431,L26,72.6
L437,L26,54.21666667
L444,L26,75.93333333
L445,L26,77.25
L469,L26,70.75
L483,L26,62.48333333
L493,L26,82.01666667
L495,L26,65.66666667
L496,L26,57.41666667
L511,L26,62.3
L527,L26,39.03333333
L529,L26,35.83333333
L530,L26,35.63333333
L540,L26,65.68333333
L543,L26,63.3
L554,L26,35.63333333
L556,L26,78.48333333
L560,L26,73.38333333
L0,L33,35.15
L7,L33,29.56666667
L18,L33,53.56666667
L26,L33,54.65
L33,L33,0
L36,L33,3.333333333
L38,L33,42.23333333
L57,L33,14.11666667
L62,L33,10.83333333
L63,L33,10.1
L70,L33,23.95
L75,L33,36.41666667
L76,L33,36.41666667
L77,L33,35.85
L78,L33,36.5
L79,L33,38.58333333
L80,L33,36.41666667
L81,L33,36.7
L82,L33,35.73333333
L91,L33,35.68333333
L93,L33,36.38333333
L99,L33,35.3
L102,L33,34.53333333
L103,L33,62.08333333
L106,L33,34.53333333
L113,L33,22.25
L116,L33,23.78333333
L122,L33,28.03333333
L128,L33,64.86666667
L134,L33,26.6
L135,L33,26.6
L138,L33,44.25
L139,L33,44.25
L141,L33,36.41666667
L145,L33,25.06666667
L146,L33,25.21666667
L147,L33,25.61666667
L150,L33,34.35
L151,L33,28.31666667
L153,L33,7.8
L154,L33,7.8
L155,L33,7.6
L156,L33,9.866666667
L157,L33,9.866666667
L159,L33,5.766666667
L162,L33,11.05
L168,L33,27.93333333
L171,L33,16.88333333
L173,L33,30.86666667
L178,L33,46.05
L179,L33,46.05
L185,L33,17.01666667
L186,L33,17.1
L191,L33,8.366666667
L203,L33,10.21666667
L206,L33,13.81666667
L213,L33,47.53333333
L222,L33,12.76666667
L227,L33,44.56666667
L229,L33,7.866666667
L231,L33,8.133333333
L246,L33,8.033333333
L247,L33,8.883333333
L249,L33,6.683333333
L252,L33,6.933333333
L262,L33,17.3
L271,L33,54.28333333
L273,L33,56.48333333
L274,L33,53.8
L292,L33,2.75
L299,L33,46.25
L309,L33,25.58333333
L310,L33,28.75
L313,L33,1.9
L315,L33,36.58333333
L321,L33,36.93333333
L323,L33,23.16666667
L328,L33,23.96666667
L333,L33,23.06666667
L334,L33,22.53333333
L336,L33,34.13333333
L338,L33,35.11666667
L349,L33,35.13333333
L355,L33,37.31666667
L361,L33,24.56666667
L365,L33,22.3
L370,L33,6.666666667
L371,L33,6.666666667
L375,L33,5.9
L382,L33,36.41666667
L385,L33,8.366666667
L387,L33,54.56666667
L392,L33,29.13333333
L393,L33,28.71666667
L402,L33,26.6
L408,L33,23.2
L411,L33,23
L412,L33,23.45
L418,L33,26.88333333
L423,L33,26.73333333
L430,L33,87.96666667
L431,L33,74.33333333
L437,L33,55.96666667
L444,L33,77.66666667
L445,L33,79
L469,L33,72.48333333
L483,L33,70.66666667
L493,L33,83.76666667
L495,L33,67.41666667
L496,L33,59.16666667
L511,L33,70.48333333
L527,L33,29.16666667
L529,L33,23.65
L530,L33,23.45
L540,L33,69.13333333
L543,L33,65.05
L554,L33,23.45
L556,L33,80.21666667
L560,L33,81.56666667
L0,L36,35
L7,L36,33.55
L18,L36,53.43333333
L26,L36,52.9
L33,L36,3.25
L36,L36,0
L38,L36,40.48333333
L57,L36,12.36666667
L62,L36,13.55
L63,L36,8.333333333
L70,L36,27.71666667
L75,L36,36.26666667
L76,L36,36.26666667
L77,L36,35.7
L78,L36,36.35
L79,L36,38.45
L80,L36,36.26666667
L81,L36,36.55
L82,L36,35.58333333
L91,L36,35.53333333
L93,L36,36.25
L99,L36,35.15
L102,L36,34.4
L103,L36,60.33333333
L106,L36,34.4
L113,L36,28
L116,L36,26
L122,L36,31.78333333
L128,L36,63.11666667
L134,L36,31.51666667
L135,L36,31.51666667
L138,L36,42.5
L139,L36,42.5
L141,L36,36.26666667
L145,L36,30.81666667
L146,L36,30.65
L147,L36,23.86666667
L150,L36,34.21666667
L151,L36,32.08333333
L153,L36,10.51666667
L154,L36,10.51666667
L155,L36,10.31666667
L156,L36,12.58333333
L157,L36,12.58333333
L159,L36,8.483333333
L162,L36,13.76666667
L168,L36,37.06666667
L171,L36,15.13333333
L173,L36,30.71666667
L178,L36,44.3
L179,L36,44.3
L185,L36,19.73333333
L186,L36,19.81666667
L191,L36,6.616666667
L203,L36,8.466666667
L206,L36,16.53333333
L213,L36,47.38333333
L222,L36,15.48333333
L227,L36,44.41666667
L229,L36,6.116666667
L231,L36,6.383333333
L246,L36,7.883333333
L247,L36,8.733333333
L249,L36,4.933333333
L252,L36,5.183333333
L262,L36,17.16666667
L271,L36,52.53333333
L273,L36,54.73333333
L274,L36,52.05
L292,L36,2.266666667
L299,L36,44.48333333
L309,L36,30.43333333
L310,L36,33.68333333
L313,L36,1.433333333
L315,L36,36.43333333
L321,L36,36.8
L323,L36,26.88333333
L328,L36,27.73333333
L333,L36,28.81666667
L334,L36,28.28333333
L336,L36,33.98333333
L338,L36,34.98333333
L349,L36,35
L355,L36,37.16666667
L361,L36,32.43333333
L365,L36,25.01666667
L370,L36,4.916666667
L371,L36,4.916666667
L375,L36,4.133333333
L382,L36,36.26666667
L385,L36,6.616666667
L387,L36,52.81666667
L392,L36,34.96666667
L393,L36,34.21666667
L402,L36,34.51666667
L408,L36,29.58333333
L411,L36,30
L412,L36,30.21666667
L418,L36,30.4
L423,L36,30.25
L430,L36,86.21666667
L431,L36,72.58333333
L437,L36,54.21666667
L444,L36,75.91666667
L445,L36,77.25
L469,L36,70.73333333
L483,L36,68.91666667
L493,L36,82.01666667
L495,L36,65.66666667
L496,L36,57.41666667
L511,L36,68.73333333
L527,L36,33.73333333
L529,L36,30.65
L530,L36,30.21666667
L540,L36,67.38333333
L543,L36,63.3
L554,L36,30.21666667
L556,L36,78.46666667
L560,L36,79.81666667
L0,L38,34.51666667
L7,L38,27.76666667
L18,L38,52.95
L26,L38,12.3
L33,L38,41.63333333
L36,L38,39.91666667
L38,L38,0
L57,L38,31.85
L62,L38,43.83333333
L63,L38,31.23333333
L70,L38,23.1
L75,L38,35.78333333
L76,L38,35.78333333
L77,L38,35.21666667
L78,L38,35.21666667
L79,L38,37.96666667
L80,L38,35.78333333
L81,L38,36.06666667
L82,L38,35.1
L91,L38,35.05
L93,L38,35.76666667
L99,L38,34.66666667
L102,L38,33.91666667
L103,L38,21.23333333
L106,L38,33.91666667
L113,L38,23.38333333
L116,L38,21.4
L122,L38,24.21666667
L128,L38,24.01666667
L134,L38,25.75
L135,L38,25.75
L138,L38,3.383333333
L139,L38,3.383333333
L141,L38,35.78333333
L145,L38,25.88333333
L146,L38,24.86666667
L147,L38,20.68333333
L150,L38,33.73333333
L151,L38,27.46666667
L153,L38,38.7
L154,L38,38.7
L155,L38,43.18333333
L156,L38,42.33333333
L157,L38,42.33333333
L159,L38,45.66666667
L162,L38,33.7
L168,L38,31.28333333
L171,L38,34.85
L173,L38,39.5
L178,L38,6.533333333
L179,L38,6.533333333
L185,L38,37.78333333
L186,L38,35.03333333
L191,L38,35.15
L203,L38,37
L206,L38,42.76666667
L213,L38,46.25
L222,L38,35.88333333
L227,L38,43.93333333
L229,L38,34.45
L231,L38,34.71666667
L246,L38,46.18333333
L247,L38,47.03333333
L249,L38,35.96666667
L252,L38,35.81666667
L262,L38,47.86666667
L271,L38,13.43333333
L273,L38,15.61666667
L274,L38,12.93333333
L292,L38,40.48333333
L299,L38,5.383333333
L309,L38,25.81666667
L310,L38,27.9
L313,L38,40.38333333
L315,L38,35.95
L321,L38,36.31666667
L323,L38,22.28333333
L328,L38,23.11666667
L333,L38,24.2
L334,L38,23.66666667
L336,L38,33.51666667
L338,L38,34.5
L349,L38,34.51666667
L355,L38,36.03333333
L361,L38,26.65
L365,L38,27.25
L370,L38,35.56666667
L371,L38,35.56666667
L375,L38,35.68333333
L382,L38,35.78333333
L385,L38,35.15
L387,L38,13.7
L392,L38,34.2
L393,L38,33.73333333
L402,L38,31.66666667
L408,L38,29.6
L411,L38,29.38333333
L412,L38,29.85
L418,L38,32.31666667
L423,L38,32.95
L430,L38,79.8
L431,L38,66.81666667
L437,L38,48.43333333
L444,L38,70.15
L445,L38,71.46666667
L469,L38,64.95
L483,L38,51.88333333
L493,L38,76.23333333
L495,L38,59.88333333
L496,L38,51.63333333
L511,L38,51.71666667
L527,L38,33.25
L529,L38,30.05
L530,L38,29.85
L540,L38,55.08333333
L543,L38,57.51666667
L554,L38,29.85
L556,L38,72.7
L560,L38,62.78333333
L0,L57,33.08333333
L7,L57,26.11666667
L18,L57,51.51666667
L26,L57,45.68333333
L33,L57,14.25
L36,L57,12.55
L38,L57,33.26666667
L57,L57,0
L62,L57,22.56666667
L63,L57,3.85
L70,L57,20.5
L75,L57,34.35
L76,L57,34.35
L77,L57,33.78333333
L78,L57,33.78333333
L79,L57,36.53333333
L80,L57,34.35
L81,L57,34.63333333
L82,L57,33.66666667
L91,L57,33.61666667
L93,L57,34.33333333
L99,L57,33.23333333
L102,L57,32.48333333
L103,L57,53.11666667
L106,L57,32.48333333
L113,L57,20.78333333
L116,L57,18.78333333
L122,L57,24.56666667
L128,L57,55.9
L134,L57,23.13333333
L135,L57,23.13333333
L138,L57,35.28333333
L139,L57,35.28333333
L141,L57,34.35
L145,L57,23.6
L146,L57,23.43333333
L147,L57,16.65
L150,L57,32.3
L151,L57,24.86666667
L153,L57,15.86666667
L154,L57,15.86666667
L155,L57,15.8
L156,L57,14.95
L157,L57,14.95
L159,L57,18.28333333
L162,L57,16.13333333
L168,L57,29.85
L171,L57,4.183333333
L173,L57,38.05
L178,L57,37.08333333
L179,L57,37.08333333
L185,L57,28.73333333
L186,L57,25.16666667
L191,L57,7.766666667
L203,L57,9.05
L206,L57,24.43333333
L213,L57,44.81666667
L222,L57,20.83333333
L227,L57,42.5
L229,L57,7.066666667
L231,L57,7.333333333
L246,L57,18.8
L247,L57,19.65
L249,L57,8.583333333
L252,L57,8.45
L262,L57,30.11666667
L271,L57,45.31666667
L273,L57,47.51666667
L274,L57,44.83333333
L292,L57,13.11666667
L299,L57,37.28333333
L309,L57,23.21666667
L310,L57,25.3
L313,L57,13
L315,L57,34.51666667
L321,L57,34.88333333
L323,L57,19.66666667
L328,L57,20.51666667
L333,L57,21.6
L334,L57,21.06666667
L336,L57,32.06666667
L338,L57,33.06666667
L349,L57,33.08333333
L355,L57,34.6
L361,L57,25.21666667
L365,L57,25.8
L370,L57,8.183333333
L371,L57,8.183333333
L375,L57,8.3
L382,L57,34.35
L385,L57,7.766666667
L387,L57,45.6
L392,L57,32.76666667
L393,L57,32.3
L402,L57,30.23333333
L408,L57,28.15
L411,L57,27.95
L412,L57,28.4
L418,L57,30.88333333
L423,L57,31.51666667
L430,L57,79
L431,L57,65.36666667
L437,L57,47
L444,L57,68.7
L445,L57,70.03333333
L469,L57,63.51666667
L483,L57,61.7
L493,L57,74.8
L495,L57,58.45
L496,L57,50.2
L511,L57,61.51666667
L527,L57,31.81666667
L529,L57,28.6
L530,L57,28.4
L540,L57,60.16666667
L543,L57,56.08333333
L554,L57,28.4
L556,L57,71.25
L560,L57,72.6
L0,L62,20.61666667
L7,L62,25.21666667
L18,L62,39.05
L26,L62,57.51666667
L33,L62,11.1
L36,L62,13.58333333
L38,L62,45.1
L57,L62,22.38333333
L62,L62,0
L63,L62,18.36666667
L70,L62,23.21666667
L75,L62,21.88333333
L76,L62,21.88333333
L77,L62,21.31666667
L78,L62,21.98333333
L79,L62,24.06666667
L80,L62,21.88333333
L81,L62,22.16666667
L82,L62,21.2
L91,L62,21.15
L93,L62,21.86666667
L99,L62,20.76666667
L102,L62,20.01666667
L103,L62,64.95
L106,L62,20.01666667
L113,L62,21.51666667
L116,L62,23.05
L122,L62,27.3
L128,L62,67.73333333
L134,L62,25.85
L135,L62,25.85
L138,L62,47.11666667
L139,L62,47.11666667
L141,L62,21.88333333
L145,L62,23.33333333
L146,L62,22.31666667
L147,L62,25.23333333
L150,L62,19.83333333
L151,L62,27.58333333
L153,L62,8.216666667
L154,L62,8.216666667
L155,L62,8.016666667
L156,L62,10.28333333
L157,L62,10.28333333
L159,L62,7.466666667
L162,L62,11.45
L168,L62,22.8
L171,L62,25.15
L173,L62,16.33333333
L178,L62,48.91666667
L179,L62,48.91666667
L185,L62,6.816666667
L186,L62,8.066666667
L191,L62,18.61666667
L203,L62,20.46666667
L206,L62,3.616666667
L213,L62,33
L222,L62,9.816666667
L227,L62,30.03333333
L229,L62,18.11666667
L231,L62,16.51666667
L246,L62,16.48333333
L247,L62,17.33333333
L249,L62,16.93333333
L252,L62,17.18333333
L262,L62,8.2
L271,L62,57.15
L273,L62,59.35
L274,L62,56.66666667
L292,L62,13
L299,L62,49.11666667
L309,L62,24.85
L310,L62,25.98333333
L313,L62,12.15
L315,L62,22.05
L321,L62,22.41666667
L323,L62,22.43333333
L328,L62,23.23333333
L333,L62,22.31666667
L334,L62,21.8
L336,L62,19.6
L338,L62,20.6
L349,L62,20.61666667
L355,L62,22.78333333
L361,L62,19.43333333
L365,L62,18.53333333
L370,L62,16.91666667
L371,L62,16.91666667
L375,L62,16.13333333
L382,L62,21.88333333
L385,L62,18.61666667
L387,L62,57.43333333
L392,L62,20.58333333
L393,L62,19.83333333
L402,L62,20.13333333
L408,L62,15.2
L411,L62,15.61666667
L412,L62,15.83333333
L418,L62,16.01666667
L423,L62,15.86666667
L430,L62,85.83333333
L431,L62,72.2
L437,L62,46.73333333
L444,L62,68.45
L445,L62,69.76666667
L469,L62,70.35
L483,L62,73.53333333
L493,L62,76.21666667
L495,L62,65.28333333
L496,L62,57.03333333
L511,L62,68.35
L527,L62,19.35
L529,L62,16.26666667
L530,L62,15.83333333
L540,L62,67
L543,L62,62.91666667
L554,L62,15.83333333
L556,L62,78.08333333
L560,L62,84.43333333
L0,L63,31.95
L7,L63,24.98333333
L18,L63,50.38333333
L26,L63,44.55
L33,L63,10.38333333
L36,L63,8.683333333
L38,L63,32.13333333
L57,L63,4.016666667
L62,L63,18.7
L63,L63,0
L70,L63,19.36666667
L75,L63,33.21666667
L76,L63,33.21666667
L77,L63,32.65
L78,L63,32.65
L79,L63,35.4
L80,L63,33.21666667
L81,L63,33.5
L82,L63,32.53333333
L91,L63,32.48333333
L93,L63,33.2
L99,L63,32.1
L102,L63,31.35
L103,L63,51.98333333
L106,L63,31.35
L113,L63,19.65
L116,L63,17.65
L122,L63,23.43333333
L128,L63,54.76666667
L134,L63,22
L135,L63,22
L138,L63,34.15
L139,L63,34.15
L141,L63,33.21666667
L145,L63,22.46666667
L146,L63,22.3
L147,L63,15.51666667
L150,L63,31.16666667
L151,L63,23.73333333
L153,L63,12.01666667
L154,L63,12.01666667
L155,L63,11.93333333
L156,L63,11.1
L157,L63,11.1
L159,L63,14.41666667
L162,L63,12.26666667
L168,L63,28.71666667
L171,L63,6.783333333
L173,L63,36.91666667
L178,L63,35.95
L179,L63,35.95
L185,L63,24.88333333
L186,L63,21.31666667
L191,L63,3.9
L203,L63,5.75
L206,L63,20.56666667
L213,L63,43.68333333
L222,L63,16.96666667
L227,L63,41.36666667
L229,L63,3.216666667
L231,L63,3.483333333
L246,L63,14.95
L247,L63,15.78333333
L249,L63,4.733333333
L252,L63,4.583333333
L262,L63,26.26666667
L271,L63,44.18333333
L273,L63,46.38333333
L274,L63,43.7
L292,L63,9.25
L299,L63,36.15
L309,L63,22.08333333
L310,L63,24.16666667
L313,L63,9.15
L315,L63,33.38333333
L321,L63,33.75
L323,L63,18.53333333
L328,L63,19.38333333
L333,L63,20.46666667
L334,L63,19.93333333
L336,L63,30.93333333
L338,L63,31.93333333
L349,L63,31.95
L355,L63,33.46666667
L361,L63,24.08333333
L365,L63,24.66666667
L370,L63,4.316666667
L371,L63,4.316666667
L375,L63,4.433333333
L382,L63,33.21666667
L385,L63,3.9
L387,L63,44.46666667
L392,L63,31.63333333
L393,L63,31.16666667
L402,L63,29.08333333
L408,L63,27.01666667
L411,L63,26.81666667
L412,L63,27.26666667
L418,L63,29.75
L423,L63,30.38333333
L430,L63,77.86666667
L431,L63,64.23333333
L437,L63,45.86666667
L444,L63,67.56666667
L445,L63,68.9
L469,L63,62.38333333
L483,L63,60.56666667
L493,L63,73.66666667
L495,L63,57.31666667
L496,L63,49.06666667
L511,L63,60.38333333
L527,L63,30.68333333
L529,L63,27.46666667
L530,L63,27.26666667
L540,L63,59.03333333
L543,L63,54.95
L554,L63,27.26666667
L556,L63,70.11666667
L560,L63,71.46666667
L0,L70,18.43333333
L7,L70,5.466666667
L18,L70,36.21666667
L26,L70,35.88333333
L33,L70,23.85
L36,L70,28.33333333
L38,L70,23.46666667
L57,L70,20.26666667
L62,L70,22.88333333
L63,L70,19.65
L70,L70,0
L75,L70,19.68333333
L76,L70,19.68333333
L77,L70,19.11666667
L78,L70,19.11666667
L79,L70,21.86666667
L80,L70,19.68333333
L81,L70,19.96666667
L82,L70,19.01666667
L91,L70,18.95
L93,L70,19.66666667
L99,L70,18.58333333
L102,L70,17.81666667
L103,L70,43.31666667
L106,L70,17.81666667
L113,L70,2.5
L116,L70,1.75
L122,L70,4.5
L128,L70,46.1
L134,L70,2.633333333
L135,L70,2.633333333
L138,L70,25.46666667
L139,L70,25.46666667
L141,L70,19.68333333
L145,L70,5.316666667
L146,L70,5.466666667
L147,L70,3.95
L150,L70,17.63333333
L151,L70,4.366666667
L153,L70,17.81666667
L154,L70,17.81666667
L155,L70,17.73333333
L156,L70,14.9
L157,L70,14.9
L159,L70,20.21666667
L162,L70,12.81666667
L168,L70,15.2
